id,country_id,league_id,season,stage,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,home_player_X1,home_player_X2,home_player_X3,home_player_X4,home_player_X5,home_player_X6,home_player_X7,home_player_X8,home_player_X9,home_player_X10,home_player_X11,away_player_X1,away_player_X2,away_player_X3,away_player_X4,away_player_X5,away_player_X6,away_player_X7,away_player_X8,away_player_X9,away_player_X10,away_player_X11,home_player_Y1,home_player_Y2,home_player_Y3,home_player_Y4,home_player_Y5,home_player_Y6,home_player_Y7,home_player_Y8,home_player_Y9,home_player_Y10,home_player_Y11,away_player_Y1,away_player_Y2,away_player_Y3,away_player_Y4,away_player_Y5,away_player_Y6,away_player_Y7,away_player_Y8,away_player_Y9,away_player_Y10,away_player_Y11,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,GBH,GBD,GBA,BSH,BSD,BSA
1,1,1,2008/2009,1,17-08-2008 00:00,492473,9987,9993,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,3.4,5,1.75,3.35,4.2,1.85,3.2,3.5,1.8,3.3,3.75,,,,1.7,3.3,4.33,1.9,3.3,4,1.65,3.4,4.5,1.78,3.25,4,1.73,3.4,4.2
2,1,1,2008/2009,1,16-08-2008 00:00,492474,10000,9994,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,3.2,3.6,1.8,3.3,3.95,1.9,3.2,3.5,1.9,3.2,3.5,,,,1.83,3.3,3.6,1.95,3.3,3.8,2,3.25,3.25,1.85,3.25,3.75,1.91,3.25,3.6
3,1,1,2008/2009,1,16-08-2008 00:00,492475,9984,8635,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,3.3,2.75,2.4,3.3,2.55,2.6,3.1,2.3,2.5,3.2,2.5,,,,2.5,3.25,2.4,2.63,3.3,2.5,2.35,3.25,2.65,2.5,3.2,2.5,2.3,3.2,2.75
4,1,1,2008/2009,1,17-08-2008 00:00,492476,9991,9998,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,3.75,7.5,1.4,4,6.8,1.4,3.9,6,1.44,3.6,6.5,,,,1.44,3.75,6,1.44,4,7.5,1.45,3.75,6.5,1.5,3.75,5.5,1.44,3.75,6.5
5,1,1,2008/2009,1,16-08-2008 00:00,492477,7947,9985,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3.5,1.65,5,3.5,1.6,4,3.3,1.7,4,3.4,1.72,,,,4.2,3.4,1.7,4.5,3.5,1.73,4.5,3.4,1.65,4.5,3.5,1.65,4.75,3.3,1.67
7,1,1,2008/2009,1,16-08-2008 00:00,492479,9999,8571,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,3.2,3.3,2.05,3.25,3.15,1.85,3.2,3.5,1.83,3.3,3.6,,,,1.83,3.3,3.6,1.91,3.4,3.6,2.1,3.25,3,1.85,3.25,3.75,2.1,3.25,3.1
8,1,1,2008/2009,1,16-08-2008 00:00,492480,4049,9996,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.4,2.2,2.55,3.3,2.4,2.4,3.2,2.4,2.5,3.2,2.5,,,,2.7,3.25,2.25,2.6,3.4,2.4,2.8,3.25,2.25,2.8,3.2,2.25,2.88,3.25,2.2
9,1,1,2008/2009,1,16-08-2008 00:00,492481,10001,9986,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,3.25,2.88,2.3,3.25,2.7,2.1,3.1,3,2.25,3.2,2.75,,,,2.2,3.25,2.75,2.2,3.3,3.1,2.25,3.25,2.8,2.2,3.3,2.8,2.25,3.2,2.8
10,1,1,2008/2009,10,01-11-2008 00:00,492564,8342,8571,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,5.25,9.5,1.25,5,10,1.3,4.2,8,1.25,4.5,10,,,,1.35,4.2,7,1.27,5,10,1.3,4.35,8.5,1.25,5,10,1.29,4.5,9
11,1,1,2008/2009,10,31-10-2008 00:00,492565,9985,9986,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,5.25,9.5,1.25,5,10,1.3,4.2,8,1.29,4.33,9,,,,1.25,4.5,9.5,1.27,5,10,1.28,4.5,8.5,1.25,5,10,1.25,5,9
12,1,1,2008/2009,10,02-11-2008 00:00,492566,10000,9991,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,3.2,2.5,2.6,3.2,2.4,2.4,3.2,2.4,2.5,3.2,2.5,,,,2.6,3.1,2.4,2.6,3.25,2.5,2.65,3.3,2.3,2.6,3.25,2.5,2.62,3.2,2.38
13,1,1,2008/2009,10,01-11-2008 00:00,492567,9994,9998,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,3.4,4,1.85,3.35,3.8,1.8,3.1,3.8,1.8,3.3,3.75,,,,1.8,3.3,3.75,1.8,3.3,4.25,2,3.2,3.4,1.85,3.3,4,1.83,3.3,3.8
14,1,1,2008/2009,10,01-11-2008 00:00,492568,7947,10001,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,3.3,2.38,2.75,3.3,2.25,2.5,3.2,2.3,2.6,3.2,2.38,,,,2.75,3.2,2.25,2.8,3.2,2.38,2.75,3.2,2.3,2.75,3.25,2.35,2.75,3.2,2.3
15,1,1,2008/2009,10,01-11-2008 00:00,492569,8203,9999,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,3.3,4.5,1.75,3.45,4,1.7,3.2,4.2,1.67,3.3,4.5,,,,1.7,3.4,4.2,1.7,3.4,4.75,1.7,3.4,4.35,1.75,3.4,4.25,1.7,3.4,4.33
16,1,1,2008/2009,10,01-11-2008 00:00,492570,9996,9984,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,3.3,3,2.35,3.25,2.7,2.2,3.1,2.8,2.2,3.2,2.8,,,,2.2,3.2,2.8,2.3,3.25,2.88,2.2,3.25,2.9,2.3,3.25,2.85,2.3,3.2,2.75
17,1,1,2008/2009,10,01-11-2008 00:00,492571,4049,9987,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3.75,1.57,5.1,3.6,1.55,4.6,3.4,1.6,5.5,3.6,1.5,,,,5.25,3.5,1.55,5.25,3.5,1.62,5.5,3.5,1.55,5.25,3.6,1.6,6,3.6,1.5
18,1,1,2008/2009,10,02-11-2008 00:00,492572,9993,8635,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3.25,1.83,4.3,3.5,1.68,3.7,3.2,1.8,4,3.4,1.73,,,,4,3.3,1.75,4.25,3.3,1.8,3.6,3.25,1.9,4.1,3.4,1.8,3.8,3.3,1.83
19,1,1,2008/2009,11,08-11-2008 00:00,492573,8635,9994,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,4.75,8.5,1.25,5,9,1.3,4.2,8,1.36,4,7,,,,1.3,4.2,8.5,1.33,4.5,9,1.28,4.5,8.5,1.3,4.75,7.5,1.3,4.5,8.5
20,1,1,2008/2009,11,08-11-2008 00:00,492574,9998,9996,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,3.3,2.9,2.25,3.2,2.8,2.2,3.1,2.8,2.5,3.2,2.5,,,,2.3,3.25,2.6,2.4,3.3,2.75,2.35,3.25,2.65,2.3,3.2,2.75,2.3,3.25,2.7
21,1,1,2008/2009,11,09-11-2008 00:00,492575,9986,8342,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.3,2.25,3.25,3.2,2.1,3.1,3,2.1,2.75,3.25,2.2,,,,3,3.2,2.1,3.3,3.3,2.1,3.25,3.25,2,3.1,3.2,2.15,3.1,3.25,2.1
22,1,1,2008/2009,11,07-11-2008 00:00,492576,9984,10000,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,3.75,4.33,1.85,3.35,3.65,1.75,3.2,4,1.73,3.4,4,,,,1.8,3.4,3.6,1.85,3.5,4.25,1.75,3.25,4.35,1.8,3.3,4.2,1.7,3.3,4.5
23,1,1,2008/2009,11,08-11-2008 00:00,492577,9991,7947,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,4.33,8,1.38,4,7.2,1.4,3.9,6,1.33,4,8,,,,1.4,4,7,1.4,4.33,7,1.35,4,7.5,1.4,4.2,7,1.36,4.2,7
24,1,1,2008/2009,11,08-11-2008 00:00,492578,9999,4049,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,3.5,4.2,1.8,3.35,3.9,1.85,3.2,3.5,1.73,3.4,4,,,,1.9,3.4,3.25,1.83,3.4,4,1.8,3.25,4,1.85,3.3,4,1.8,3.3,4
25,1,1,2008/2009,11,08-11-2008 00:00,492579,8571,8203,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.5,3.6,1.95,3.25,3.4,2,3.2,3.1,1.91,3.25,3.4,,,,2.05,3.25,3,2.05,3.25,3.5,2,3.25,3.25,1.95,3.2,3.5,2,3.25,3.3
26,1,1,2008/2009,11,08-11-2008 00:00,492580,10001,9987,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,3.25,2.6,2.5,3.3,2.45,2.45,3.1,2.45,2.5,3.2,2.5,,,,2.5,3.25,2.4,2.6,3.2,2.6,2.4,3.25,2.6,2.5,3.25,2.5,2.5,3.2,2.5
27,1,1,2008/2009,11,09-11-2008 00:00,492581,9993,9985,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,3.3,2.05,3.4,3.25,1.95,3.9,3.3,1.75,3.75,3.3,1.8,,,,3.25,3.25,1.95,3.6,3.3,1.95,3.75,3.25,1.85,3.6,3.25,1.95,3.5,3.3,1.91
28,1,1,2008/2009,12,16-11-2008 00:00,492582,8342,8635,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,3.25,2.9,2.2,3.15,3,2,3.1,3.2,2.2,3.25,2.75,,,,2.15,3.1,3,2.15,3.2,3.3,2.25,3.1,2.8,2.1,3.2,3.2,2.2,3.2,2.9
29,1,1,2008/2009,12,15-11-2008 00:00,492583,9987,9999,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,5.25,10,1.23,5,10,1.3,4.2,8,1.25,4.5,10,,,,1.25,4.8,9,1.27,5.5,10,1.25,5,9,1.27,5,8.5,1.25,5,9
30,1,1,2008/2009,12,15-11-2008 00:00,492584,10000,9993,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.25,3.5,2.1,3.2,3.2,2,3.1,3.2,2,3.2,3.2,,,,1.9,3.25,3.5,2.1,3.3,3.4,2.1,3.3,3.1,2,3.2,3.5,2,3.25,3.3
31,1,1,2008/2009,12,16-11-2008 00:00,492585,9994,9985,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,3.25,2.1,3.4,3.2,2,2.8,3.1,2.2,3,3.2,2.1,,,,3.2,3.2,2,3.5,3.25,2.1,3.2,3.2,2.1,3.2,3.2,2.1,3.1,3.2,2.1
32,1,1,2008/2009,12,15-11-2008 00:00,492586,7947,8571,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,3.25,2.8,2.25,3.1,2.95,2.1,3.1,3,2.2,3.25,2.75,,,,2.1,3.2,3,2.25,3.25,3.1,2.25,3.3,2.8,2.2,3.2,3,2.2,3.1,3
33,1,1,2008/2009,12,15-11-2008 00:00,492587,8203,9998,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,3.25,3.4,1.95,3.2,3.6,2,3.1,3.2,2.1,3.2,3,,,,2.1,3.2,3,2.05,3.3,3.5,2.1,3.3,3.1,2.1,3.2,3.2,2,3.2,3.4
34,1,1,2008/2009,12,15-11-2008 00:00,492588,9996,9986,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,3.25,3,2.1,3.25,3.1,2.1,3.1,3,2.2,3.2,2.8,,,,2.25,3.2,2.75,2.2,3.25,3.2,2.2,3.3,2.8,2.2,3.2,3,2.25,3.25,2.8
35,1,1,2008/2009,12,15-11-2008 00:00,492589,4049,9984,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,3.4,1.75,4.6,3.4,1.7,3.4,3.3,1.85,4,3.4,1.72,,,,3.2,3.2,2,4.33,3.4,1.83,4,3.5,1.75,4.25,3.3,1.75,4.33,3.3,1.73
36,1,1,2008/2009,12,14-11-2008 00:00,492590,10001,9991,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3.3,2.75,2.3,3.2,2.75,2.3,3.1,2.6,2.4,3.1,2.6,,,,2.3,3.1,2.7,2.4,3.3,2.8,2.5,3.2,2.6,2.45,3.2,2.75,2.3,3.2,2.75
37,1,1,2008/2009,13,22-11-2008 00:00,492591,8635,10001,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,4.33,7,1.4,3.85,7.75,1.4,3.9,6,1.5,3.5,6,,,,1.45,4,6.25,1.44,4,7.5,1.45,4,6,1.45,3.8,7,1.44,3.75,6.5
38,1,1,2008/2009,13,22-11-2008 00:00,492592,9985,9996,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,4.5,9,1.35,4.25,8,1.35,4,7,1.36,4,7,,,,1.35,4.3,7.75,1.36,4.5,8.5,1.35,4,7.5,1.37,4.25,8,1.36,4.2,7
39,1,1,2008/2009,13,22-11-2008 00:00,492622,9998,8342,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,3.4,1.85,4.85,3.4,1.65,3.8,3.1,1.8,3.75,3.3,1.8,,,,4.2,3.4,1.75,4.75,3.5,1.73,4.5,3.4,1.7,4.6,3.4,1.73,4.2,3.4,1.73
40,1,1,2008/2009,13,22-11-2008 00:00,492623,9986,4049,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,4.33,7,1.55,3.45,5.9,1.55,3.5,4.8,1.44,3.6,6.5,,,,1.5,3.8,5.75,1.44,4,7.5,1.5,3.6,6,1.53,3.75,6,1.5,3.6,6
41,1,1,2008/2009,13,22-11-2008 00:00,492624,9984,8203,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,3.75,5.5,1.55,3.5,5.85,1.6,3.4,4.6,1.57,3.5,5,,,,1.6,3.6,5,1.62,3.6,5.5,1.6,3.6,4.5,1.62,3.5,5.25,1.6,3.5,5
42,1,1,2008/2009,13,23-11-2008 00:00,492628,9991,9987,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,3.3,3.2,2.05,3.3,3.2,2.2,3.1,2.8,2.2,3.25,2.75,,,,2.1,3.2,3.2,2.2,3.25,3.2,2.2,3.25,2.8,2.2,3.25,3.1,2.2,3.25,2.88
