vehicle_id,vehicle_type,make_id,model_year,vehicle_desc,color,date_stolen,location_id,months,season
1,Trailer,623,2021,BST2021D,Silver,05-11-2021,102,2021-11,Spring
2,Boat Trailer,623,2021,OUTBACK BOATS FT470,Silver,13-12-2021,105,2021-12,Summer
3,Boat Trailer,623,2021,ASD JETSKI,Silver,13-02-2022,102,2022-02,Summer
4,Trailer,623,2021,MSC 7X4,Silver,13-11-2021,106,2021-11,Spring
5,Trailer,623,2018,D-MAX 8X5,Silver,10-01-2022,102,2022-01,Summer
6,Roadbike,636,2005,YZF-R6T,Black,31-12-2021,102,2021-12,Summer
7,Trailer,623,2021,CAAR TRANSPORTER,Silver,12-11-2021,114,2021-11,Spring
8,Boat Trailer,623,2001,BOAT,Silver,22-02-2022,109,2022-02,Summer
9,Trailer,514,2021,"7X4-6"" 1000KG",Silver,25-02-2022,115,2022-02,Summer
10,Trailer,514,2020,8X4 TANDEM,Silver,03-01-2022,114,2022-01,Summer
11,Trailer,623,2018,HOMEBUILT,Silver,15-10-2021,108,2021-10,Spring
12,Trailer,538,2018,BRENT SMITH TRAILERS,Silver,28-02-2022,102,2022-02,Summer
13,Moped,629,2004,ET2,Black,19-12-2021,102,2021-12,Summer
14,Moped,550,2007,TODAY,Blue,23-01-2022,102,2022-01,Summer
15,Roadbike,611,2007,DL650,Black,28-02-2022,101,2022-02,Summer
16,Trailer,623,2021,JOBMATE,Silver,08-02-2022,109,2022-02,Summer
17,Trailer,623,2021,BSTB85B,Silver,10-10-2021,102,2021-10,Spring
18,Boat Trailer,623,2004,BOAT,White,07-10-2021,104,2021-10,Spring
19,Trailer,623,2014,DOMESTIC TRAILER,White,24-02-2022,104,2022-02,Summer
20,Boat Trailer,623,2018,APS SEADOO,Silver,08-11-2021,114,2021-11,Spring
21,Roadbike,625,2002,THUNDERBIRD,Silver,13-02-2022,101,2022-02,Summer
22,Trailer,538,2000,BRENT SMITH TRAILERS,Silver,22-11-2021,104,2021-11,Spring
23,Trailer,623,2015,LOCAL,Silver,27-01-2022,114,2022-01,Summer
24,Trailer - Heavy,623,2021,CT DIG 25,Silver,12-11-2021,102,2021-11,Spring
25,Trailer,623,2018,CHOOKS 2.4X1.6 TRANS,Silver,08-10-2021,106,2021-10,Spring
26,Trailer,623,2017,EASY TILT,Silver,04-03-2022,108,2022-03,Autumn
27,Trailer,623,2018,IFOR WILLIAMS CT177,Silver,27-02-2022,103,2022-02,Summer
28,Trailer,623,2018,CONDOR,Silver,01-02-2022,109,2022-02,Summer
29,Trailer,623,2018,HOMEBUILT,Silver,01-11-2021,104,2021-11,Spring
30,Trailer,623,2018,PRO COMMERCIAL,Silver,21-12-2021,102,2021-12,Summer
31,Trailer,623,2018,FACTORY,Grey,03-01-2022,102,2022-01,Summer
32,Trailer,549,1998,TRAILER,Green,21-10-2021,114,2021-10,Spring
33,Boat Trailer,623,2017,JFK JETSKI,Grey,15-02-2022,104,2022-02,Summer
34,Trailer,623,2021,BST 2021D,Silver,05-01-2022,102,2022-01,Summer
35,Trailer,514,2021,10X5 TANDEM,Silver,05-04-2022,114,2022-04,Autumn
36,Trailer,623,2018,HOMEMADE,Grey,17-02-2022,103,2022-02,Summer
37,Trailer,623,2018,COMPASS-KH63,Silver,23-02-2022,102,2022-02,Summer
38,Trailer,623,2018,TRAYLA,Silver,17-01-2022,109,2022-01,Summer
39,Trailer - Heavy,623,2021,PRESCOTT,Silver,03-12-2021,104,2021-12,Summer
40,Trailer,549,2021,TRAILER,Black,27-12-2021,109,2021-12,Summer
41,Trailer,623,2021,TRAYLA,Silver,02-03-2022,106,2022-03,Autumn
42,Trailer,623,2002,HOMEMADE,Silver,02-01-2022,102,2022-01,Summer
43,Boat Trailer,623,2018,BST58OR,Silver,24-02-2022,102,2022-02,Summer
44,Trailer,549,2018,TRAILER,Silver,28-02-2022,114,2022-02,Summer
45,Trailer,623,2014,DOMESTIC TRAILER,Silver,19-10-2021,104,2021-10,Spring
46,Moped,538,2005,TGB PALIO,Silver,09-11-2021,106,2021-11,Spring
47,Trailer - Heavy,623,2004,TANDEM,Grey,05-11-2021,102,2021-11,Spring
48,Trailer,527,2021,TRAILER,Silver,02-03-2022,102,2022-03,Autumn
49,Trailer,623,2021,DOMESTIC,Grey,22-10-2021,102,2021-10,Spring
50,Trailer,623,2021,M J TANDEM AXLE,Silver,20-01-2022,114,2022-01,Summer
51,Trailer,514,2021,8X4 CAGE,Silver,07-12-2021,102,2021-12,Summer
52,Caravan,537,2003,RIVIERA 482,White,13-10-2021,114,2021-10,Spring
53,Roadbike,636,1995,XTZ660BG,Blue,21-03-2022,111,2022-03,Autumn
54,Roadbike,561,1999,NINJA,Green,15-02-2022,104,2022-02,Summer
55,Trailer - Heavy,623,2021,PRESCOTT,Silver,06-02-2022,104,2022-02,Summer
56,Trailer - Heavy,623,2000,BRIFORD,Yellow,05-03-2022,102,2022-03,Autumn
57,Boat Trailer,623,2021,ASD JETSKI,Silver,21-02-2022,102,2022-02,Summer
58,Trailer,623,1997,BRIFORD 8X4-6COVERED,Yellow,05-11-2021,105,2021-11,Spring
59,Trailer,623,2021,HOMEBUILT,Black,06-03-2022,102,2022-03,Autumn
60,Trailer,623,1983,OLEARY,Red,02-01-2022,108,2022-01,Summer
61,Trailer,623,2021,TRAILERWORLD 9X5 HSB,Silver,26-03-2022,102,2022-03,Autumn
62,Trailer,623,2018,SINGLE AXLE,Silver,10-10-2021,102,2021-10,Spring
63,Moped,550,2008,TODAY 50,Yellow,19-12-2021,104,2021-12,Summer
64,Trailer,623,2018,IFOR WILLIAMS,Black,06-01-2022,104,2022-01,Summer
65,Trailer,623,2014,PRESCOTT,Silver,24-03-2022,104,2022-03,Autumn
66,Boat Trailer,623,2014,SPORTLINE,Silver,21-10-2021,105,2021-10,Spring
67,Hatchback,540,2006,FOCUS,Blue,13-11-2021,105,2021-11,Spring
68,Trailer - Heavy,623,2014,TILTING FLAT DECK,Silver,08-11-2021,105,2021-11,Spring
69,Trailer,623,2014,PMTRAILER,Silver,24-01-2022,114,2022-01,Summer
70,Boat Trailer,551,2014,BOAT TRAILER,Silver,04-04-2022,103,2022-04,Autumn
71,Trailer,623,2014,TRAYLA,Silver,24-02-2022,107,2022-02,Summer
72,Trailer,623,2014,ELITE,Silver,04-02-2022,102,2022-02,Summer
73,Trailer,623,2014,ELITE 7X4,Silver,14-01-2022,114,2022-01,Summer
74,Caravan,591,1969,PIONEER,White,27-11-2021,104,2021-11,Spring
75,Saloon,512,2007,323I,White,23-03-2022,102,2022-03,Autumn
76,Trailer,623,2015,7 X 4 STD,Silver,05-01-2022,102,2022-01,Summer
77,Trailer,623,2011,HOMEBUILT,Grey,02-04-2022,102,2022-04,Autumn
78,Boat Trailer,623,2015,ENDURO,Silver,06-01-2022,104,2022-01,Summer
79,Trailer,623,2015,TRAYLA,Silver,28-02-2022,106,2022-02,Summer
80,Trailer,623,2015,ELITE 8X5,Silver,14-01-2022,114,2022-01,Summer
81,Trailer,623,2015,COMPASS D105,Silver,18-10-2021,102,2021-10,Spring
82,Trailer,623,2015,DOMESTIC TRAILER,Silver,16-03-2022,103,2022-03,Autumn
83,Trailer - Heavy,623,1998,TANK,White,18-01-2022,104,2022-01,Summer
84,Stationwagon,507,2015,ALLROAD,Silver,03-04-2022,109,2022-04,Autumn
